frame_local_time,date,time,x,y,point_type,is_shaded,solar_exposure_pct,air_temperature_c,estimated_point_temperature_c,rain_mm_h,cloud_cover,cloud_unit
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,42.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,44.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,46.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,48.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,52.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,54.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,56.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,58.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,60.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,32.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,32.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,34.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,36.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,38.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,40.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,42.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,44.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,56.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,58.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,60.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,62.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,64.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,66.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,34.0,68.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,32.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,34.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,36.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,38.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,40.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
2026-04-19 00:00:00,2026-04-19,00:00:00,36.0,42.0,tor,False,0.0,12.0,12.0,0.0,100.0,%
